S/N,HOSTEL NAME,ROOM TYPE,PRICE (GHS),DISTANCE FROM CAMPUS(min walk to Campus),WATER,WIFI,SECURITY,TV ROOM,STUDY ROOM
47,NYAME MIREKU PLAZA,3 in 1,5200,15,No,No,Yes,No,No
47,NYAME MIREKU PLAZA,2 in 1,7700,15,No,No,Yes,No,No
47,NYAME MIREKU PLAZA,1 in 1,9000,15,No,No,Yes,No,No
48,ELITE,3 in 1,6200,40,Yes,Yes,No,No,No
48,ELITE,2 in 1,7900,40,Yes,Yes,No,No,No
48,ELITE,1 in 1,8600,40,Yes,Yes,No,No,No
49,HYDES HOSTEL,4 in 1,5800,15,Yes,No,No,Yes,No
49,HYDES HOSTEL,3 in 1,8200,15,Yes,No,No,Yes,No
50,DELISA (MAIN),4 in 1,7000,10,Yes,Yes,Yes,No,Yes
50,DELISA (MAIN),2 in 1,7700,10,Yes,Yes,Yes,No,Yes
51,MANCHESTER,4 in 1,5000,15,Yes,No,Yes,Yes,No
51,MANCHESTER,3 in 1,7400,15,Yes,No,Yes,Yes,No
51,MANCHESTER,2 in 1,7600,15,Yes,No,Yes,Yes,No
51,MANCHESTER,1 in 1,8200,15,Yes,No,Yes,Yes,No
52,AMEN HOSTEL APARTMENT,4 in 1,3900,60,Yes,No,Yes,Yes,No
52,AMEN HOSTEL APARTMENT,2 in 1,6000,60,Yes,No,Yes,Yes,No
53,PARADISE HOSTEL,4 in 1,3200,8,Yes,No,Yes,Yes,Yes
53,PARADISE HOSTEL,3 in 1,6000,8,Yes,No,Yes,Yes,Yes
53,PARADISE HOSTEL,2 in 1,8100,8,Yes,No,Yes,Yes,Yes
53,PARADISE HOSTEL,1 in 1,8500,8,Yes,No,Yes,Yes,Yes
54,WAGYINGO,4 in 1,2800,7,Yes,Yes,No,No,No
54,WAGYINGO,2 in 1,4300,7,Yes,Yes,No,No,No
55,SHEPHERDS VILLE HOSTEL,4 in 1,3200,11,Yes,No,No,Yes,No
55,SHEPHERDS VILLE HOSTEL,3 in 1,4200,11,Yes,No,No,Yes,No
55,SHEPHERDS VILLE HOSTEL,2 in 1,6200,11,Yes,No,No,Yes,No
55,SHEPHERDS VILLE HOSTEL,1 in 1,7400,11,Yes,No,No,Yes,No
56,AGYA APPIAH HOSTEL,4 in 1,6000,9,Yes,No,Yes,Yes,Yes
56,AGYA APPIAH HOSTEL,3 in 1,6800,9,Yes,No,Yes,Yes,Yes
56,AGYA APPIAH HOSTEL,2 in 1,8200,9,Yes,No,Yes,Yes,Yes
57,JENEST HOSTEL,2 in 1,6200,2,Yes,Yes,Yes,No,Yes
57,JENEST HOSTEL,1 in 1,8000,2,Yes,Yes,Yes,No,Yes
58,CRYSTAL ROSE,3 in 1,7700,35,No,Yes,No,No,No
58,CRYSTAL ROSE,2 in 1,8600,35,No,Yes,No,No,No
58,CRYSTAL ROSE,1 in 1,8700,35,No,Yes,No,No,No
59,BY HIS GRACE,4 in 1,7200,9,No,Yes,No,Yes,Yes
59,BY HIS GRACE,2 in 1,8200,9,No,Yes,No,Yes,Yes
60,GOLDEN PARADISE HOSTEL,4 in 1,4800,9,Yes,Yes,Yes,No,Yes
60,GOLDEN PARADISE HOSTEL,2 in 1,8800,9,Yes,Yes,Yes,No,Yes
61,WEST END,4 in 1,7000,5,No,Yes,Yes,Yes,No
61,WEST END,3 in 1,7800,5,No,Yes,Yes,Yes,No
62,THY KINGDOM COME HOSTEL,4 in 1,4000,9,No,No,No,No,Yes
62,THY KINGDOM COME HOSTEL,3 in 1,7500,9,No,No,No,No,Yes
63,EDEN HOSTEL,4 in 1,3900,9,Yes,Yes,Yes,No,Yes
63,EDEN HOSTEL,3 in 1,6800,9,Yes,Yes,Yes,No,Yes
63,EDEN HOSTEL,2 in 1,7500,9,Yes,Yes,Yes,No,Yes
64,BEACON HOSTEL,4 in 1,5400,11,No,Yes,Yes,Yes,No
64,BEACON HOSTEL,3 in 1,5500,11,No,Yes,Yes,Yes,No
64,BEACON HOSTEL,2 in 1,6300,11,No,Yes,Yes,Yes,No
65,GENTARL,2 in 1,5200,14,Yes,No,Yes,No,Yes
65,GENTARL,1 in 1,7600,14,Yes,No,Yes,No,Yes
66,DAKENS INTERNATTIONAL,3 in 1,6300,15,Yes,No,Yes,No,Yes
66,DAKENS INTERNATTIONAL,2 in 1,6800,15,Yes,No,Yes,No,Yes
66,DAKENS INTERNATTIONAL,1 in 1,8000,15,Yes,No,Yes,No,Yes
67,CHARIS,4 in 1,4500,30,Yes,No,Yes,No,No
67,CHARIS,3 in 1,7400,30,Yes,No,Yes,No,No
67,CHARIS,2 in 1,8500,30,Yes,No,Yes,No,No
68,DIVINE KAMA,4 in 1,3200,30,Yes,Yes,No,No,Yes
68,DIVINE KAMA,3 in 1,4800,30,Yes,Yes,No,No,Yes
68,DIVINE KAMA,2 in 1,8000,30,Yes,Yes,No,No,Yes
68,DIVINE KAMA,1 in 1,9100,30,Yes,Yes,No,No,Yes
69,WHITPAM B,4 in 1,5200,40,Yes,Yes,No,No,No
69,WHITPAM B,2 in 1,7400,40,Yes,Yes,No,No,No
70,F PLAZA,2 in 1,6200,45,No,No,Yes,Yes,No
70,F PLAZA,1 in 1,7800,45,No,No,Yes,Yes,No
71,PINAMANG,4 in 1,4000,45,Yes,Yes,No,No,No
71,PINAMANG,3 in 1,5600,45,Yes,Yes,No,No,No
72,OUTLOOK HOSTEL,4 in 1,3400,45,Yes,Yes,No,No,Yes
72,OUTLOOK HOSTEL,3 in 1,7200,45,Yes,Yes,No,No,Yes
73,BETHEL HOSTEL,3 in 1,6500,20,Yes,No,No,No,No
73,BETHEL HOSTEL,2 in 1,7800,20,Yes,No,No,No,No
74,NYANTAKYI,4 in 1,8200,55,Yes,Yes,Yes,No,Yes
74,NYANTAKYI,3 in 1,9400,55,Yes,Yes,Yes,No,Yes
75,DR SARFO,2 in 1,5200,14,Yes,Yes,No,No,Yes
75,DR SARFO,1 in 1,6000,14,Yes,Yes,No,No,Yes
76,CAESARS' PALACE,3 in 1,4000,40,Yes,Yes,No,No,No
76,CAESARS' PALACE,2 in 1,6200,40,Yes,Yes,No,No,No
77,MUSHIAL,4 in 1,3800,40,No,No,No,No,Yes
77,MUSHIAL,3 in 1,4000,40,No,No,No,No,Yes
77,MUSHIAL,2 in 1,6800,40,No,No,No,No,Yes
77,MUSHIAL,1 in 1,8600,40,No,No,No,No,Yes
78,NEVADA,2 in 1,7900,45,Yes,Yes,Yes,Yes,No
78,NEVADA,1 in 1,8300,45,Yes,Yes,Yes,Yes,No
79,EVANDY,3 in 1,4000,10,Yes,No,No,No,No
79,EVANDY,2 in 1,4600,10,Yes,No,No,No,No
79,EVANDY,1 in 1,7900,10,Yes,No,No,No,No
80,VIMENS,3 in 1,4200,40,Yes,Yes,No,Yes,Yes
80,VIMENS,2 in 1,8400,40,Yes,Yes,No,Yes,Yes
80,VIMENS,1 in 1,9200,40,Yes,Yes,No,Yes,Yes
81,SAAB HOSTEL,4 in 1,4800,40,No,Yes,Yes,No,Yes
81,SAAB HOSTEL,2 in 1,7400,40,No,Yes,Yes,No,Yes
82,AMERICAN HOUSE,4 in 1,8400,35,Yes,No,Yes,Yes,Yes
82,AMERICAN HOUSE,2 in 1,8600,35,Yes,No,Yes,Yes,Yes
83,ENIN HOSTEL,4 in 1,4400,50,Yes,Yes,Yes,Yes,Yes
83,ENIN HOSTEL,3 in 1,7500,50,Yes,Yes,Yes,Yes,Yes
83,ENIN HOSTEL,2 in 1,8800,50,Yes,Yes,Yes,Yes,Yes
83,ENIN HOSTEL,1 in 1,9200,50,Yes,Yes,Yes,Yes,Yes
84,RESURRECTION,4 in 1,5500,45,Yes,No,Yes,Yes,No
84,RESURRECTION,3 in 1,6300,45,Yes,No,Yes,Yes,No
84,RESURRECTION,2 in 1,7000,45,Yes,No,Yes,Yes,No
84,RESURRECTION,1 in 1,9400,45,Yes,No,Yes,Yes,No
85,DANLEO,4 in 1,6200,55,Yes,Yes,No,No,Yes
85,DANLEO,2 in 1,7600,55,Yes,Yes,No,No,Yes
86,FOUR SEASONS,3 in 1,7200,65,Yes,Yes,No,No,No
86,FOUR SEASONS,2 in 1,9200,65,Yes,Yes,No,No,No
86,FOUR SEASONS,1 in 1,9500,65,Yes,Yes,No,No,No
87,BOADI EXECUTIVE,2 in 1,4500,70,No,No,Yes,Yes,No
87,BOADI EXECUTIVE,1 in 1,7000,70,No,No,Yes,Yes,No
88,GOD'S GLORY,4 in 1,4700,50,No,Yes,Yes,No,No
88,GOD'S GLORY,3 in 1,7600,50,No,Yes,Yes,No,No
88,GOD'S GLORY,2 in 1,8700,50,No,Yes,Yes,No,No
88,GOD'S GLORY,1 in 1,9100,50,No,Yes,Yes,No,No
89,K GEE,4 in 1,5800,40,Yes,Yes,Yes,Yes,Yes
89,K GEE,3 in 1,7900,40,Yes,Yes,Yes,Yes,Yes
89,K GEE,2 in 1,8200,40,Yes,Yes,Yes,Yes,Yes
90,BO EXECUTIVE HOSTEL,3 in 1,5100,10,Yes,Yes,No,Yes,No
90,BO EXECUTIVE HOSTEL,2 in 1,7000,10,Yes,Yes,No,Yes,No
91,ASANSIKA,4 in 1,6000,30,No,No,Yes,Yes,Yes
91,ASANSIKA,3 in 1,6600,30,No,No,Yes,Yes,Yes
91,ASANSIKA,2 in 1,7400,30,No,No,Yes,Yes,Yes
92,HIGH ACHIEVERS,3 in 1,7500,35,Yes,Yes,No,Yes,Yes
92,HIGH ACHIEVERS,2 in 1,8800,35,Yes,Yes,No,Yes,Yes
92,HIGH ACHIEVERS,1 in 1,9800,35,Yes,Yes,No,Yes,Yes
93,MILLENNIUM LIGHT,3 in 1,8500,55,Yes,Yes,Yes,Yes,No
93,MILLENNIUM LIGHT,2 in 1,9200,55,Yes,Yes,Yes,Yes,No
94,FORD HOSTEL,4 in 1,7000,6,Yes,Yes,No,No,No
94,FORD HOSTEL,3 in 1,8400,6,Yes,Yes,No,No,No
94,FORD HOSTEL,2 in 1,9200,6,Yes,Yes,No,No,No
94,FORD HOSTEL,1 in 1,9400,6,Yes,Yes,No,No,No
95,EMMAL VILLE,4 in 1,4600,15,No,No,Yes,No,Yes
95,EMMAL VILLE,3 in 1,5100,15,No,No,Yes,No,Yes
95,EMMAL VILLE,2 in 1,6500,15,No,No,Yes,No,Yes
96,KYIRI ABOSOM,4 in 1,5200,14,Yes,No,Yes,No,No
96,KYIRI ABOSOM,3 in 1,6500,14,Yes,No,Yes,No,No
96,KYIRI ABOSOM,2 in 1,8100,14,Yes,No,Yes,No,No
97,DELISA ANNEX,3 in 1,5600,40,Yes,Yes,No,Yes,No
97,DELISA ANNEX,2 in 1,8500,40,Yes,Yes,No,Yes,No
98,ST. MICHAEL,4 in 1,5500,17,Yes,Yes,Yes,No,No
98,ST. MICHAEL,3 in 1,6200,17,Yes,Yes,Yes,No,No
98,ST. MICHAEL,2 in 1,8700,17,Yes,Yes,Yes,No,No
98,ST. MICHAEL,1 in 1,9400,17,Yes,Yes,Yes,No,No
99,P&G HOSTEL,2 in 1,4200,40,Yes,No,Yes,No,No
99,P&G HOSTEL,1 in 1,6400,40,Yes,No,Yes,No,No
100,EUROPA,4 in 1,6800,30,Yes,Yes,Yes,No,Yes
100,EUROPA,3 in 1,7800,30,Yes,Yes,Yes,No,Yes
100,EUROPA,2 in 1,8800,30,Yes,Yes,Yes,No,Yes
101,YVONNA HOSTEL,4 in 1,3200,12,Yes,No,Yes,Yes,No
101,YVONNA HOSTEL,3 in 1,5300,12,Yes,No,Yes,Yes,No
101,YVONNA HOSTEL,2 in 1,7100,12,Yes,No,Yes,Yes,No
101,YVONNA HOSTEL,1 in 1,8800,12,Yes,No,Yes,Yes,No
102,AGAPE,3 in 1,5500,12,Yes,No,Yes,Yes,No
102,AGAPE,2 in 1,7600,12,Yes,No,Yes,Yes,No
103,PEACE HOSTEL,4 in 1,3200,10,Yes,Yes,No,No,No
103,PEACE HOSTEL,3 in 1,8100,10,Yes,Yes,No,No,No
104,DREAMLAND,4 in 1,4300,14,Yes,No,Yes,Yes,No
104,DREAMLAND,3 in 1,5600,14,Yes,No,Yes,Yes,No
104,DREAMLAND,2 in 1,9300,14,Yes,No,Yes,Yes,No
105,CANADIAN,4 in 1,5300,15,Yes,Yes,No,Yes,Yes
105,CANADIAN,3 in 1,7200,15,Yes,Yes,No,Yes,Yes
105,CANADIAN,2 in 1,8200,15,Yes,Yes,No,Yes,Yes
105,CANADIAN,1 in 1,8600,15,Yes,Yes,No,Yes,Yes
106,GLORY BE TO GOD (ANNEX),4 in 1,3800,12,Yes,Yes,No,Yes,Yes
106,GLORY BE TO GOD (ANNEX),3 in 1,5400,12,Yes,Yes,No,Yes,Yes
107,JOHANNES,3 in 1,4000,14,Yes,Yes,No,No,No
107,JOHANNES,2 in 1,7100,14,Yes,Yes,No,No,No
108,JECADO,4 in 1,5800,12,Yes,Yes,Yes,Yes,Yes
108,JECADO,3 in 1,6500,12,Yes,Yes,Yes,Yes,Yes
108,JECADO,2 in 1,9300,12,Yes,Yes,Yes,Yes,Yes
108,JECADO,1 in 1,9500,12,Yes,Yes,Yes,Yes,Yes
109,WIMBLEDON (HENRY FRANK),4 in 1,7200,10,Yes,No,Yes,No,Yes
109,WIMBLEDON (HENRY FRANK),3 in 1,7800,10,Yes,No,Yes,No,Yes
109,WIMBLEDON (HENRY FRANK),2 in 1,8700,10,Yes,No,Yes,No,Yes
110,SPLENDOR,3 in 1,5500,12,Yes,Yes,Yes,Yes,Yes
110,SPLENDOR,2 in 1,5800,12,Yes,Yes,Yes,Yes,Yes
110,SPLENDOR,1 in 1,6800,12,Yes,Yes,Yes,Yes,Yes
111,ABUNDANT GRACE,4 in 1,3400,30,Yes,Yes,Yes,No,No
111,ABUNDANT GRACE,3 in 1,5800,30,Yes,Yes,Yes,No,No
112,FOSUA HOMES,4 in 1,6500,35,No,No,Yes,Yes,No
112,FOSUA HOMES,3 in 1,6800,35,No,No,Yes,Yes,No
112,FOSUA HOMES,2 in 1,7600,35,No,No,Yes,Yes,No
112,FOSUA HOMES,1 in 1,9400,35,No,No,Yes,Yes,No
113,AFRANE,3 in 1,5000,40,No,Yes,Yes,Yes,Yes
113,AFRANE,2 in 1,7500,40,No,Yes,Yes,Yes,Yes
113,AFRANE,1 in 1,9800,40,No,Yes,Yes,Yes,Yes
114,URBAN PLATINUM,4 in 1,5900,55,Yes,No,Yes,No,No
114,URBAN PLATINUM,3 in 1,6400,55,Yes,No,Yes,No,No
114,URBAN PLATINUM,2 in 1,8100,55,Yes,No,Yes,No,No
114,URBAN PLATINUM,1 in 1,8400,55,Yes,No,Yes,No,No
115,FRONTLINE INN,4 in 1,3400,6,No,Yes,Yes,No,No
115,FRONTLINE INN,3 in 1,6000,6,No,Yes,Yes,No,No
115,FRONTLINE INN,2 in 1,6100,6,No,Yes,Yes,No,No
115,FRONTLINE INN,1 in 1,7200,6,No,Yes,Yes,No,No
116,FRONTLINE APARTMENT (ANNEX),4 in 1,7400,8,Yes,Yes,Yes,Yes,No
116,FRONTLINE APARTMENT (ANNEX),2 in 1,8000,8,Yes,Yes,Yes,Yes,No
117,ACHIBA,3 in 1,4200,30,Yes,Yes,Yes,No,No
117,ACHIBA,2 in 1,6800,30,Yes,Yes,Yes,No,No
118,ALSTAR PINK,4 in 1,7200,14,Yes,Yes,No,Yes,No
118,ALSTAR PINK,3 in 1,8200,14,Yes,Yes,No,Yes,No
118,ALSTAR PINK,2 in 1,9000,14,Yes,Yes,No,Yes,No
118,ALSTAR PINK,1 in 1,9400,14,Yes,Yes,No,Yes,No
119,AMEN HOSTEL (ANNEX),4 in 1,3600,9,Yes,No,No,Yes,Yes
119,AMEN HOSTEL (ANNEX),3 in 1,5200,9,Yes,No,No,Yes,Yes
119,AMEN HOSTEL (ANNEX),2 in 1,6100,9,Yes,No,No,Yes,Yes
119,AMEN HOSTEL (ANNEX),1 in 1,7000,9,Yes,No,No,Yes,Yes
120,ANGLICAN,3 in 1,3900,25,No,No,No,No,Yes
120,ANGLICAN,2 in 1,5300,25,No,No,No,No,Yes
121,ASABEK HOSTEL,4 in 1,7000,11,Yes,No,Yes,Yes,Yes
121,ASABEK HOSTEL,3 in 1,7400,11,Yes,No,Yes,Yes,Yes
122,KINGS OF KINGS,4 in 1,8200,14,Yes,Yes,Yes,No,Yes
122,KINGS OF KINGS,3 in 1,8800,14,Yes,Yes,Yes,No,Yes
123,MCKEOWN,4 in 1,5600,50,Yes,Yes,No,Yes,Yes
123,MCKEOWN,3 in 1,7400,50,Yes,Yes,No,Yes,Yes
123,MCKEOWN,2 in 1,8700,50,Yes,Yes,No,Yes,Yes
124,MONTREAL,3 in 1,4200,14,Yes,No,No,Yes,No
124,MONTREAL,2 in 1,7700,14,Yes,No,No,Yes,No
125,AMEN INN,4 in 1,8200,9,Yes,Yes,Yes,No,Yes
125,AMEN INN,3 in 1,8400,9,Yes,Yes,Yes,No,Yes
125,AMEN INN,2 in 1,9400,9,Yes,Yes,Yes,No,Yes
125,AMEN INN,1 in 1,9600,9,Yes,Yes,Yes,No,Yes
126,VIABLE,4 in 1,7000,35,No,Yes,Yes,No,No
126,VIABLE,2 in 1,7700,35,No,Yes,Yes,No,No
127,THINK JESUS,4 in 1,6900,35,Yes,Yes,No,No,Yes
127,THINK JESUS,3 in 1,8900,35,Yes,Yes,No,No,Yes
127,THINK JESUS,2 in 1,9400,35,Yes,Yes,No,No,Yes
128,AMEN MAIN,4 in 1,5000,12,Yes,No,Yes,Yes,No
